id: "CyberdeckViolet 3"
type: ItemType_Decker
uirep {
  icon: "icon_deck_fuchivirtualx"
  name: "Violet\'s Deck"
  description: "Cobbled together from a bunch old decks. Adds 10s when hacking Blocker IC."
}
equipPrefabName: "deck_cyber6"
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Decking
prereqStrings: "Player.FLAG.HAS_DATAJACK == 1"
decking_default_weapon: "Matrix Bat Attack 2 (Violet)"
decking_hardening: 4
decking_body: 6
decking_evasion: 3
decking_max_ip: 300
decking_max_ap: 3
decking_program_limit: 6
decking_esp_limit: 3
decking_persona_free_move_speed: 350
decking_bip_hack_time_increase: 1000
store_cost: 1000
sorting_group: "Cyberdecks"
decking_turn_mode_move_speed: 9
