id: "PR IC Charge 1"
type: ItemType_DeckerProgram
uirep {
  icon: "icon_sniffer"
  name: "Charge Lvl 1"
  description: "Charges IC up to Level 1"
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Decking
forceRating: 3
apCost: 2
prereqStrings: "Player.SKILL.Skill_Decking >= 1"
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "IC Charge 1 (Matrix)"
affectsFriendly: false
affectsEnemy: false
canTargetSelf: true
canTargetActor: false
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
isBuff: true
cooldown: 2
isMagic: false
effectDuration: 2
fxrep {
  preActionFxName: "MatrixSpellPrepare"
  actionFxName: "MatrixCastAction"
  postActionFxName: ""
  hitReactionFxName: "MatrixBuffHitReaction"
  missReactionFxName: "MatrixCastMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_sniffer"
    name: "CHARGING... 50%"
  }
  stackingCategory: "MatrixCharge1"
  statMods {
    attribute: Attribute_Accuracy
    intModValue: 25
  }
  statusConditions: Condition_MatrixCharge1
}
store_cost: 100
sorting_group: "Programs"
