id: "Berlin_Grenade 1 (Flashbang)"
type: ItemType_Thrown
uirep {
  icon: "icon_grenade_fichetticoncussion"
  name: "Esprit Flashbang Grenade"
  description: "Esprit\'s basic non-lethal grenade. Does -1 AP to everyone hit by its blast. Makes targets easier to hit."
}
coreAttribute: Attribute_Strength
coreSkill: Skill_ThrowingWeapons
forceRating: 1
apCost: 2
prereqStrings: "Player.RACE != RACE.CREATURE"
maxAmmo: 0
baseHPDamage: 0
baseAPDamage: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
effectModTable: 1
effectModTable: 1
noiseLevel: 10
noiseRounds: 1
abilityModes: "Throw (Flash Grenade)"
affectsFriendly: true
affectsEnemy: true
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
effectDuration: 2
activationStatusEffects {
  uirep {
    icon: "icon_disintegrate1"
    name: "Unbalanced"
  }
  stackingCategory: "Flashbang"
  statMods {
    attribute: Attribute_Accuracy_Reduction_Mod
    intModValue: -5
  }
  is_debuff: true
}
store_cost: 75
sorting_group: "Grenades"
is_consumable: true
damageType: VulnerabilityType_ActionPoints
