id: "Fist"
type: ItemType_Unarmed
uirep {
  icon: "icon_melee"
  name: "Unarmed Combat"
  description: "No weapon. No problem. Damage is equal to your Strength."
}
anim_type: AnimType_Unarmed
coreAttribute: Attribute_Strength
coreSkill: Skill_CloseCombat
coreSpecialization: Specialization_CC_Unarmed
apCost: 1
maxAmmo: 0
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 12
noiseLevel: 0
noiseRounds: 0
abilityModes: "Wound (Unarmed)"
abilityModes: "Killing Hands (Unarmed)"
abilityModes: "Killing Hands (Passive)"
affectsEnemy: true
canTargetActor: true
sorting_group: "Melee"
