id: "Voltaic Grenade 3 (Shock)"
type: ItemType_Thrown
uirep {
  icon: "icon_grenade_voltaic"
  name: "Voltaic Grenade"
  description: "A grenade which releases an electric shock in the surrounding area."
}
coreAttribute: Attribute_Strength
coreSkill: Skill_ThrowingWeapons
forceRating: 3
apCost: 2
prereqStrings: "STORY.TrustMissionState_Eiger == 6"
maxAmmo: 0
baseHPDamage: 14
baseAPDamage: 3
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
effectModTable: 1
effectModTable: 0.75
effectModTable: 0.5
noiseLevel: 11
noiseRounds: 1
abilityModes: "Throw (Shock Grenade)"
affectsFriendly: true
affectsEnemy: true
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
store_cost: 120
sorting_group: "Grenades"
is_consumable: true
