unique_id: "Story_Coyote_Lv4_UB"
archetypeName: "Guard - Protect"
attitude: AttitudeAggressive
stats {
  body: 6
  quickness: 5
  strength: 4
  charisma: 2
  intelligence: 2
  willpower: 2
  essence: 5
  magic: 6
  reaction: 1
  hp: 60
  ap: 3
  armor: 5
  force: 0
  morale: 75
  discipline: 75
  awareness: 75
  perception: 40
  authority: 50
  protect_tether_range: 5
  move_speed: 6
  vision_peripheral_distance: 2
  vision_cone_distance: 18
  vision_cone_angle: 90
  is_fearless: 0
}
skills {
  ranged_combat: 5
  close_combat: 3
  throwing_weapons: 3
  spellcasting: 0
  decking: 0
  deck_build_repair: 0
  conjuring: 0
  spirit_summoning: 0
  spirit_control: 0
  spirit_banishing: 0
  magic_defense: 0
  drone_control: 0
  remote_gunnery: 0
  drone_build_repair: 0
  athletics: 0
  biotech: 3
  dodge: 4
  negotiation: 0
  stealth: 0
  etiquette_corporate: 0
  etiquette_security: 0
  etiquette_gang: 0
  etiquette_paranormal: 0
  etiquette_socialite: 0
  etiquette_infected: 0
  chi_casting: 0
  etiquette_shadowrunner: 0
  etiquette_street: 0
  etiquette_academic: 0
}
specializations {
  bows: 0
  heavy_weapons: 0
  laser: 0
  pistol: 4
  rifle: 0
  shotgun: 4
  smg: 0
  clubs: 0
  edged: 2
  polearms: 0
  unarmed: 0
  whips: 0
  throwing_blades: 0
  attack_spells: 0
  manipulation_spells: 0
  social_spells: 0
  support_spells: 0
  combat_programs: 0
  defensive_programs: 0
  trap_programs: 0
  spirit_control: 0
  esp_control: 0
  drone_combat: 0
}
prefab_name: "Story/CoyoteUgly"
attackRandom: AttackStyle_AllEqual
