unique_id: "Hellhound (tough).ch_sht"
archetypeName: "Guard - Seek And Destroy"
attitude: AttitudeAggressive
stats {
  body: 7
  quickness: 8
  strength: 8
  charisma: 1
  intelligence: 5
  willpower: 4
  essence: 6
  magic: 6
  reaction: 4
  hp: 70
  ap: 2
  armor: 4
  force: 4
  morale: 100
  discipline: 25
  awareness: 80
  perception: 40
  move_speed: 6
  vision_peripheral_distance: 2
  vision_cone_distance: 18
  vision_cone_angle: 90
  is_fearless: 0
}
skills {
  ranged_combat: 0
  close_combat: 5
  throwing_weapons: 0
  spellcasting: 6
  decking: 0
  deck_build_repair: 0
  conjuring: 0
  spirit_summoning: 0
  spirit_banishing: 0
  magic_defense: 0
  drone_control: 0
  remote_gunnery: 0
  drone_build_repair: 0
  athletics: 0
  biotech: 0
  dodge: 3
  negotiation: 0
  stealth: 0
  etiquette_corporate: 0
  etiquette_security: 0
  etiquette_gang: 0
  etiquette_paranormal: 0
  etiquette_socialite: 0
  etiquette_infected: 0
}
specializations {
  bows: 0
  heavy_weapons: 0
  laser: 0
  pistol: 0
  rifle: 0
  shotgun: 0
  smg: 0
  clubs: 0
  edged: 0
  polearms: 0
  unarmed: 3
  whips: 0
  throwing_blades: 0
  attack_spells: 0
  manipulation_spells: 0
  social_spells: 0
  support_spells: 0
  combat_programs: 0
  defensive_programs: 0
  trap_programs: 0
  spirit_control: 0
}
attackRandom: AttackStyle_AllEqual
