unique_id: "AGChemie_Cyberzombie_Lv1"
archetypeName: "Guard - Seek And Destroy"
attitude: AttitudeBoss
stats {
  body: 6
  quickness: 4
  strength: 9
  charisma: 1
  intelligence: 1
  willpower: 6
  essence: 6
  magic: 0
  reaction: 0
  hp: 100
  ap: 3
  armor: 2
  force: 0
  morale: 99
  discipline: 99
  awareness: 99
  perception: 40
  authority: 50
  protect_tether_range: 35
  move_speed: 6
  vision_peripheral_distance: 2
  vision_cone_distance: 18
  vision_cone_angle: 90
  is_fearless: 0
}
skills {
  ranged_combat: 4
  close_combat: 6
  dodge: 2
}
specializations {
  rifle: 4
  edged: 6
  unarmed: 4
}
prefab_name: "Seattle:Core/TrollMale"
portrait {
  filename: "NPC_TrollMale_CyberZombie"
}
