id: "Blood Grenade (Castle)"
type: ItemType_Thrown
uirep {
  icon: "icon_item_modded_flashbang"
  name: "Nanite Cloud"
  description: "Grenade that releases a cloud of healing nanites that attach to anyone entering the radius. Obscures vision."
}
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Biotech
coreSpecialization: Specialization_SC_Attack_Spells
forceRating: 3
apCost: 2
prereqStrings: "Player.RACE != RACE.CREATURE"
maxAmmo: 0
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
noiseLevel: 10
noiseRounds: 1
abilityModes: "Throw (Blood Grenade)"
affectsFriendly: true
affectsEnemy: true
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
effectDuration: 2
effectRadius: 2
effectOnTile: true
activationStatusEffects {
  uirep {
    icon: "icon_fogB"
    name: "Nanites: HP +7 per RND"
  }
  statMods {
    attribute: Attribute_HP
    intModValue: 7
  }
  statusConditions: Condition_HalfVisibility
  fxScript: "HongKong:PoisonFogImprovedAOE"
  is_ignore_armor: true
  is_buff: true
}
store_cost: 125
sorting_group: "crewWeapon"
is_consumable: true
damageType: VulnerabilityType_Heal
