id: "Spell Waterbolt 1 (River)"
type: ItemType_AttackSpell
uirep {
  icon: "icon_spirit_waterbolt_1"
  name: "Waterbolt I"
  description: "A powerful bolt of water that ignores 2 points of Armor."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Charisma
coreSkill: Skill_Conjuring
forceRating: 3
apCost: 1
prereqStrings: "TAG.River_Current_1 NOT_EXISTS"
baseHPDamage: 6
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 4
noiseRounds: 1
modelessAbilities: "Waterbolt 1"
rpPenetrate: 2
affectsFriendly: false
affectsEnemy: true
canTargetActor: true
isMagic: true
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "HydroDaggerShootAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
store_cost: 300
sorting_group: "crewWeapon"
