id: "Hurricane Barrier"
type: ItemType_Shaman
uirep {
  icon: "icon_gobbet_ability_plague_barrier"
  name: "Hurricane Barrier 1"
  description: "Set 4 barriers that last 3 RNDS. Anyone that enters takes -1 AP and is slowed."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Charisma
coreSkill: Skill_Conjuring
forceRating: 1
apCost: 1
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
rangeModTable: -9
noiseLevel: 5
noiseRounds: 1
modelessAbilities: "Conjure"
affectsFriendly: true
affectsEnemy: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: true
additionalTargets: 3
cooldown: 4
isMagic: true
effectDuration: 3
effectRadius: 0
effectOnTile: true
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "ConjureLightningBarrierAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellDebuffHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_disintegrate2"
    name: "Marooned"
  }
  stackingCategory: "Air"
  statMods {
    attribute: Attribute_AP_Effect
    intModValue: -1
    damageType: VulnerabilityType_ActionPoints
  }
  statMods {
        attribute: Attribute_Move_Speed
    intModValue: -4
  }
  is_debuff: true
  fxScript: "LightningBarrierStatus"
  durationFxScript: "GenericStatusHitReaction"
}
sorting_group: "Barriers"
damageType: VulnerabilityType_ActionPoints
